peg_x,peg_y,peg_z,peg_qw,peg_qx,peg_qy,peg_qz,q_init_ur_shoulder_pan_joint,q_init_ur_shoulder_lift_joint,q_init_ur_elbow_joint,q_init_ur_wrist_1_joint,q_init_ur_wrist_2_joint,q_init_ur_wrist_3_joint,q_reach_ur_shoulder_pan_joint,q_reach_ur_shoulder_lift_joint,q_reach_ur_elbow_joint,q_reach_ur_wrist_1_joint,q_reach_ur_wrist_2_joint,q_reach_ur_wrist_3_joint,peg_site_x,peg_site_y,peg_site_z,ee_init_x,ee_init_y,ee_init_z
0.04809629,-0.050534822,0.7449845,-0.7068552,-0.22519137,0.36880702,-0.5600232,-2.071156,4.906201,1.6568269,2.1802158,1.7021326,1.3649589,-2.0798483,5.0604563,1.3080543,2.3783362,1.6829607,1.3569555,0.04809629,-0.050534822,0.7449845,0.075012445,0.022608811,0.6823304
-0.28067362,-0.21364951,1.2257113,0.4280262,0.07381768,-0.82722974,-0.35642034,0.13998216,-3.2224097,1.1652882,-1.5375265,4.0328383,-4.2312136,0.05559092,-3.2578506,0.98619163,-1.3515275,4.1127024,-4.2199597,-0.28067362,-0.21364951,1.2257113,-0.2045964,-0.26629865,1.2636629
0.79622173,-0.21974081,0.54250443,0.5477833,0.052127488,-0.10729907,-0.8280719,-0.4153531,0.046641253,-1.140385,5.5667953,4.685296,-3.1590986,-0.41338274,-0.1624431,-0.9824882,5.618031,4.6872582,-3.1589777,0.79622173,-0.21974081,0.54250443,0.8166101,-0.23180017,0.4453505
0.08479168,0.20001239,-0.23695132,-0.13983883,-0.31166536,-0.225848,0.91230613,1.3283368,0.67680687,1.8831018,-1.6766616,1.9278191,2.4602182,1.1746949,0.838324,2.0630496,-2.073022,1.803289,2.3481264,0.08479168,0.20001239,-0.23695132,0.13534206,0.24993747,-0.3073228
-0.02745533,0.2220999,-0.22006406,-0.1814849,0.03681465,0.40180632,-0.8968052,-3.2668846,0.72889566,1.7239221,2.4329832,3.905024,1.917744,-2.830228,0.36398095,1.9760983,2.936027,4.0664573,2.4793088,-0.02745533,0.2220999,-0.22006406,-0.006267859,0.29283205,-0.28750333
0.5561353,0.087785296,1.0945972,0.5194821,0.2264998,-0.80949956,0.15344906,4.9832845,4.0810666,2.6316085,-2.555675,-5.776305,0.60324746,4.555357,4.3797836,2.761003,-3.386198,-5.4683275,1.1012104,0.5561353,0.087785296,1.0945972,0.63328815,0.13616121,1.1359155
0.2592096,-0.7799364,0.9636529,-0.10567041,-0.71962696,0.30725193,0.61365056,-2.0700223,-0.9046708,1.4358494,3.3260453,0.3001961,-2.8174083,-2.1902442,-0.76230943,1.3475602,3.158282,0.44084418,-2.7059586,0.2592096,-0.7799364,0.9636529,0.35402298,-0.80243677,0.9861063
-0.35717,-0.5107269,0.019769467,0.5576329,0.34843403,0.20675357,0.72449446,-1.7993119,-0.13159792,1.6624362,3.0522215,3.867202,4.1646276,-1.7053899,-0.37107676,1.8313677,3.215522,3.9166725,4.2852874,-0.35717,-0.5107269,0.019769467,-0.43071622,-0.50182563,-0.04739987
-0.46776164,0.18441284,1.3006065,-0.32612443,-0.44932747,-0.7097195,0.43364263,-5.4721613,-3.236804,1.6697642,-2.1797345,-0.8238693,5.5118814,-5.3510246,-3.3124242,1.5733422,-1.9334193,-0.924752,5.4124,-0.46776164,0.18441284,1.3006065,-0.4750835,0.27527308,1.3417258
0.69035083,0.36370867,0.1411711,0.80798465,0.28910622,-0.44290978,-0.25963312,0.37024552,0.0547124,1.846512,1.7018616,-1.6615306,-3.7773817,0.380134,0.027868189,2.1181083,1.473381,-1.6594163,-3.7721472,0.69035083,0.36370867,0.1411711,0.776936,0.38742852,0.0971214
-0.70793414,-0.61657673,0.8281256,-0.47669214,0.035104908,-0.8696212,0.12365771,-2.1415575,0.6159047,-1.1684351,5.7555585,2.5149553,0.87463087,-2.0364518,0.745106,-1.2529339,5.6046963,2.5565078,0.7503131,-0.70793414,-0.61657673,0.8281256,-0.7917106,-0.59841645,0.87962025
0.348485,-0.27428293,0.14279807,-0.4150542,0.15663616,0.27666146,-0.85243976,-1.673963,-0.7589644,2.2556863,3.6795034,-1.056386,-2.456494,-1.7348627,-1.0104803,2.2078314,3.9942484,-1.1213737,-2.509655,0.348485,-0.27428293,0.14279807,0.39815548,-0.24011798,0.06301335
-0.4469477,-0.80003643,0.8554843,0.56325465,-0.4182105,-0.13177668,-0.7003421,4.029362,4.8664026,1.4401709,-2.5050635,4.7689934,1.1587298,3.9942536,4.676484,1.4765694,-2.3512905,4.8085318,1.1184709,-0.4469477,-0.80003643,0.8554843,-0.490681,-0.86560595,0.7939374
0.2560712,-0.29209155,0.6018839,-0.4849441,-0.375782,0.7820196,-0.10982882,4.3406796,6.002031,1.3490248,5.813789,-1.1203077,-1.6341659,4.264098,6.19149,1.01119,5.941725,-1.17964,-1.5878545,0.2560712,-0.29209155,0.6018839,0.32366404,-0.23846723,0.65243727
-0.13536452,0.7705957,0.10550405,0.5889965,0.73873234,0.24885349,-0.21314205,1.6566314,-5.8934035,1.457148,-2.0234427,1.6983261,0.6535708,1.7120231,-5.7550354,1.4990741,-2.2114446,1.751346,0.64733785,-0.13536452,0.7705957,0.10550405,-0.13318829,0.8682261,0.12703477
0.02709018,-0.049776204,1.3851166,0.42124188,0.42555666,0.7905354,-0.12849377,-1.1345824,-1.6401019,1.8336536,-2.647578,1.8411878,4.7291408,-1.0985775,-1.4126916,1.7696816,-2.810209,1.7980025,4.708408,0.02709018,-0.049776204,1.3851166,-0.028574865,0.006392028,1.4463255
